station_identifier,date,observation_type,observation_value,TMAX_F,month,country_code
SZ000006717,1866-01-08,TMAX,-1.4,29.48,1,SZ
ASN00090015,1866-01-08,TMAX,20.6,69.08000000000001,1,ASN
UK000056225,1866-01-08,TMAX,4.9,40.82,1,UK
ASN00066062,1866-01-08,TMAX,33.9,93.02,1,ASN
CA006148100,1866-01-08,TMAX,-12.2,10.04,1,CA
EZE00100082,1866-01-08,TMAX,4.6,40.28,1,EZE
ITE00100554,1866-01-08,TMAX,3.6,38.480000000000004,1,ITE
ITE00100550,1866-01-08,TMAX,4.8,40.64,1,ITE
AGE00135039,1866-01-08,TMAX,14.5,58.1,1,AGE
BE000006447,1866-01-08,TMAX,9.2,48.56,1,BE
CA006110549,1866-01-08,TMAX,-16.7,1.9400000000000013,1,CA
EIE00101859,1866-01-08,TMAX,8.9,48.019999999999996,1,EIE
CA006153192,1866-01-08,TMAX,-9.4,15.079999999999998,1,CA
CA006158350,1866-01-08,TMAX,-13.3,8.059999999999999,1,CA
ASN00086071,1866-01-08,TMAX,26.5,79.7,1,ASN
CA006150689,1866-01-08,TMAX,-16.1,3.019999999999996,1,CA
GME00125218,1866-01-08,TMAX,6.0,42.8,1,GME
AU000005901,1866-01-09,TMAX,2.3,36.14,1,AU
GM000004204,1866-01-09,TMAX,6.3,43.34,1,GM
UK000047811,1866-01-09,TMAX,5.0,41.0,1,UK
USC00288878,1866-01-09,TMAX,-5.6,21.92,1,USC
ASN00066062,1866-01-09,TMAX,25.9,78.62,1,ASN
ASN00090015,1866-01-09,TMAX,18.9,66.02,1,ASN
UK000056225,1866-01-09,TMAX,6.1,42.980000000000004,1,UK
SZ000006717,1866-01-09,TMAX,-7.0,19.4,1,SZ
CA006148100,1866-01-09,TMAX,-9.4,15.079999999999998,1,CA
ITE00100554,1866-01-09,TMAX,3.0,37.4,1,ITE
ITE00100550,1866-01-09,TMAX,3.3,37.94,1,ITE
GME00125218,1866-01-09,TMAX,6.0,42.8,1,GME
AGE00135039,1866-01-09,TMAX,15.5,59.900000000000006,1,AGE
BE000006447,1866-01-09,TMAX,3.3,37.94,1,BE
CA006110549,1866-01-09,TMAX,-12.2,10.04,1,CA
EIE00101859,1866-01-09,TMAX,8.3,46.94,1,EIE
CA006153192,1866-01-09,TMAX,-6.7,19.939999999999998,1,CA
CA006158350,1866-01-09,TMAX,-7.2,19.04,1,CA
ASN00086071,1866-01-09,TMAX,20.0,68.0,1,ASN
CA006150689,1866-01-09,TMAX,-8.9,15.98,1,CA
EZE00100082,1866-01-09,TMAX,7.8,46.04,1,EZE
ASN00066062,1866-01-10,TMAX,20.9,69.62,1,ASN
AU000005901,1866-01-10,TMAX,3.8,38.84,1,AU
GM000004204,1866-01-10,TMAX,3.5,38.3,1,GM
UK000047811,1866-01-10,TMAX,2.8,37.04,1,UK
ITE00100554,1866-01-10,TMAX,8.8,47.84,1,ITE
CA006148100,1866-01-10,TMAX,-3.9,24.98,1,CA
ASN00090015,1866-01-10,TMAX,22.8,73.03999999999999,1,ASN
SZ000006717,1866-01-10,TMAX,-11.6,11.120000000000001,1,SZ
USC00288878,1866-01-10,TMAX,1.1,33.98,1,USC
EZE00100082,1866-01-10,TMAX,3.8,38.84,1,EZE
UK000056225,1866-01-10,TMAX,2.3,36.14,1,UK
AGE00135039,1866-01-10,TMAX,15.0,59.0,1,AGE
ITE00100550,1866-01-10,TMAX,7.3,45.14,1,ITE
CA006150689,1866-01-10,TMAX,-2.8,26.96,1,CA
